Gene_ID	adrenal.gland	colon	esophagus	gall.bladder	heart	kidney	liver	lung	ovary	pancreas	rectum	testis	urinary.bladder
ENSG00000107951	4.980461324	0.97720773	0	0	0	0	0.745420512	0	0.419709352	4.463436361	1.167755219	1.033888284	0
ENSG00000107957	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107959	7.030738742	2.729118085	1.410748709	1.559565749	9.873624756	1.585265927	8.614437207	2.530065158	5.221006311	5.558765023	4.359712241	6.024343574	3.862569983
ENSG00000108001	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000108010	5.894525393	2.698383449	5.985011811	0	0	1.952008314	4.17970882	0	10.20435995	4.82434634	3.377017337	9.628443742	4.062641144
ENSG00000108039	8.209336158	5.165746759	0.986632431	2.908716288	1.774526528	1.938151921	2.992176939	0	15.6077589	26.79526107	3.064770715	8.817667399	1.866772064
ENSG00000108055	17.51127803	2.409860462	0	3.218547574	0	0.256735117	1.476662415	3.047046409	18.35980533	9.451515918	4.130236962	11.52482685	1.946694283
ENSG00000108061	0	0.158351678	0	0	0	0	1.032995489	0	0.436053394	1.110674344	0	3.337653486	0
ENSG00000108064	3.076871149	3.103658791	0	1.570780299	12.31281462	8.940967985	12.17820221	4.994481714	12.46624238	8.922972643	7.839593549	11.73773686	3.530744198
ENSG00000108091	0	3.544283223	0	1.918950469	0	0	1.99056542	0	1.159906803	6.028930328	5.724923566	7.016677199	2.794784312
ENSG00000108094	3.911405326	1.261425079	0	1.879737914	0	0	3.267522243	1.00712923	5.35248794	3.68420213	3.374928145	3.558817044	2.97140429
ENSG00000108100	0	0	0	0	0	0	0	0	0.54504883	0	0	1.455151024	0.743060773
ENSG00000108106	0	0	0	0	0	0	0	0	0	0	0	2.725552764	0
ENSG00000108107	15.44116805	9.795083962	0	23.63944949	7.414828835	14.84224101	71.51569692	20.32288107	24.12971446	80.86539955	18.20613019	23.25305947	11.11280019
ENSG00000108176	0	0	0	0	0	0	0	0	0	2.260281644	0	0	0
ENSG00000108179	57.00152781	7.636051627	0	0	36.57423264	15.18892034	54.79703838	0	11.10256101	19.80020709	9.805344328	8.574871665	5.405956027
ENSG00000108187	4.784513202	1.142057183	0	0	0	67.52276679	46.19429536	0	0	10.04831043	2.849245204	0	0.595038799
ENSG00000108219	0	0	0	0	0	0	0	0	1.032076188	0	0	0.997070249	0
ENSG00000108231	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000108242	0	0	0	0	0	0	2.502399341	0	0	0	0	0	0
ENSG00000108255	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000108256	0	0	0	0	0	0	1.376348254	0	0	2.254901231	0	1.117196337	0
ENSG00000108262	0.950079616	1.089060614	0	2.655733475	0	0	0	3.321387401	2.233971033	2.974361522	0.696728541	2.702415602	0.884523005
ENSG00000108298	14.18628511	4.523242314	0	16.19450705	6.79178078	4.926014073	52.11880051	12.41803689	17.53598497	42.51502025	19.29522097	27.31384276	6.219824455
ENSG00000108306	0	0	0	0	0	0	0	0	2.158479524	0	0	1.87026495	0
ENSG00000108309	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000108312	7.289260661	1.81140824	0	3.117759707	0	0	2.667323665	5.108354668	4.525086713	12.41708889	4.943173334	5.894364885	1.82234779
ENSG00000108344	8.887095359	4.491791317	4.070602469	3.868946018	5.551469117	3.050336714	8.578360184	6.588480256	9.480997956	13.29215671	5.248877889	10.47693321	5.194226916
ENSG00000108349	0	0	0	0	0	0	0	0	0	0	0	1.558029775	0
ENSG00000108370	0	0	0	0	0	0	0	0	0	0	0	0	0
