Gene ID	brain	liver	testis
ENSMUSG00000002372	5.554342436	0.514637058	27.96533582
ENSMUSG00000002395	2.03225412	1.603277162	1.330004608
ENSMUSG00000002413	4.717573372	0.134745299	2.204563468
ENSMUSG00000002416	3.078332908	20.77193703	10.78050386
ENSMUSG00000002455	2.966888988	0.052762276	0.745603193
ENSMUSG00000002458	0	1.022259373	0.081229696
ENSMUSG00000002475	6.663613498	7.388819173	1.425807647
ENSMUSG00000002477	9.749933533	7.139867118	47.47991696
ENSMUSG00000002524	2.8998441	0.48648084	12.33626002
ENSMUSG00000002565	0.164534827	0	0.998694159
ENSMUSG00000002580	7.015047108	0.610334487	12.08416191
ENSMUSG00000002588	0.269556157	454.5968241	2.988916674
ENSMUSG00000002602	0.041956381	0.049538866	0.1347545
ENSMUSG00000002603	0	0	0.266098768
ENSMUSG00000002608	0	0	0.973872855
ENSMUSG00000002635	0	0	3.165471689
ENSMUSG00000002658	0.760609454	0.808186539	5.596808346
ENSMUSG00000002660	42.26318047	35.25199987	6.18618841
ENSMUSG00000002661	0.386389039	1.004949425	2.509325914
ENSMUSG00000002688	0.35076645	0.073051868	1.168860386
ENSMUSG00000002699	0.629808496	0.204782514	0.001721375
ENSMUSG00000002718	16.26132178	11.68583536	152.582671
ENSMUSG00000002728	5.87570686	2.604336711	6.754128624
ENSMUSG00000002731	0.914948948	0.775641244	39.07520759
ENSMUSG00000002741	88.26715559	21.94278966	89.16963523
ENSMUSG00000002748	0	0	0
ENSMUSG00000002763	0.311883234	4.998555296	2.452488725
ENSMUSG00000002767	3.435122592	1.299153702	0.349296901
ENSMUSG00000002768	0	0.683451186	8.396651435
ENSMUSG00000002769	0.263678571	758.5906216	0
ENSMUSG00000002778	3.012556564	13.93872179	6.911114378
ENSMUSG00000002797	13.24171775	10.37689214	19.18650825
ENSMUSG00000002804	0.871865442	4.779620117	0.551953855
ENSMUSG00000002808	126.6335575	1.648010734	0.194498299
ENSMUSG00000002812	0.039265658	0.154512352	0.270602575
ENSMUSG00000002825	0.228262708	0.115457998	1.668711086
ENSMUSG00000002831	0.019401203	0.001029391	0.108697167
ENSMUSG00000002844	23.61934554	0	96.99158355
ENSMUSG00000002846	1.104713701	0.464995759	0.878544658
ENSMUSG00000002870	0.262828176	7.482176193	21.48445738
ENSMUSG00000002881	0.042567161	0	0.168842424
ENSMUSG00000002900	0.147569228	0.068351602	0.610676024
ENSMUSG00000002930	6.123777644	0	1.140758353
ENSMUSG00000002944	0.292728223	5.739511813	6.384902734
ENSMUSG00000002949	14.18325913	24.71173295	44.41934226
ENSMUSG00000002957	152.6434033	15.9394146	31.97703411
ENSMUSG00000002980	2.067726363	0.517878621	3.209934198
ENSMUSG00000002981	9.166403394	7.09124367	30.14817165
