GeneID	adipose.tissue	adrenal.gland	appendix	urinary.bladder	bone.marrow	colon	duodenum	endometrium	esophagus	fallopian.tube	gall.bladder	heart	kidney	liver	lung	lymph.node	ovary	pancreas	placenta	prostate	rectum	salivary.gland	small.intestine	smooth.muscle	spleen	stomach	testis	thyroid	tonsil
ENSG00000133246	0.952702846	0.034422469	11.66269093	0.74175958	117.6681984	0.053986292	0.153155813	0.081882662	0.184760106	0.044480063	0.29524154	0	0	0.084058669	0.669628704	0.075497208	0.429564478	0.635742081	0.136677866	0.039927779	0	0.057672679	0.089896664	0.013633873	1.825744924	0.096862618	0.473884563	0.086101453	0.222848785
ENSG00000133247	0	0	0.016957765	0	0	0	0.099779811	0	0	0.058293059	0	0	0	0	0.012919861	0	0	0	0.011336031	0	0	0	0	0	0	0	0.013112094	0	0.440641165
ENSG00000133250	0	0	0.01504255	0	0.661149536	0	0	0	0.17951902	0	0	0	0	0	0.047851337	0.525414161	0.395085498	0	0	0.118582764	0	0	0	0	0	0	0.006709376	0.053102452	0.037790505
ENSG00000133265	3.033785348	1.819443608	1.283039314	3.208095941	2.621026301	2.191437153	8.631573412	7.2898887	6.283543418	7.529029405	2.742737941	5.669118864	3.051596663	2.401671969	16.27201333	4.055826265	5.86330452	0.919732136	1.609379895	0.80511879	4.43727988	3.947528424	13.42440652	2.906695285	3.060254253	3.868012422	14.70864454	4.691856188	5.930876759
ENSG00000133275	0	0.086449917	0	0.012252279	0	0	0	0	0	0.032158741	0.069981299	0	0	0.035564667	0.030919981	0.183068901	0	0	0	0	0	0.040779178	0.025489379	0	0.04812793	0.042707898	0.085592582	0.07151305	0.235163576
ENSG00000133313	63.89358662	57.30940478	75.14453198	140.3676604	24.33711437	63.81867585	209.4012066	109.8546508	48.06389912	213.8873117	115.1755674	38.91167215	468.8059544	279.4400523	133.8890079	135.5914596	115.5393824	64.57081795	90.11767435	166.9027607	82.55868966	77.17153764	323.0183066	42.86953032	176.1946752	93.59883417	108.4838464	380.4472998	122.968624
ENSG00000133315	3.277797567	13.26916483	3.338756981	2.290723927	0.932185081	7.936966715	10.96699943	13.55943371	7.080188578	13.72247928	3.826769492	59.44993155	80.3533109	13.23037991	4.88527175	2.374575803	5.810871046	45.43765855	4.888247153	6.728358696	14.41452371	13.41199668	9.69605696	7.510189274	3.524481506	7.939323043	7.199943785	114.8716428	3.743166364
ENSG00000133316	0.381786196	0.429018572	0.634354081	0.68226072	0.744260601	1.758460052	0.429569646	1.076656782	0.638458779	0.807836269	0.391374153	0.130634303	0.243554371	0.242086208	0.995921936	6.562731369	1.493415092	0.349938871	0.131619561	0.195544935	0.735644588	0.164888451	4.256880851	0.38614895	0.718435038	0.061869104	1.100929937	0.261296724	2.005068177
ENSG00000133317	1.643575185	0.059999601	0.18216613	0.057665113	0	0.03114323	0.02799619	0	0.180888312	0.552820012	0	0	0	0	0.097707141	0.050790392	0.584207113	0.11904424	0.289201797	0	0.073010192	0	0	0	0.17063806	0.017445201	0	1.219401308	0.17368137
ENSG00000133318	42.35272741	6.15745762	10.37770258	2.954486945	0.761378635	5.323543609	9.825367582	3.046651912	6.429538372	10.08357925	11.85163272	11.79431076	10.26053805	3.212274114	11.72067738	11.40598381	3.59679181	8.850821229	10.51091083	11.33729513	14.49465838	23.79961666	2.045329601	15.11481548	8.372701581	6.245723002	1.005559584	22.12773647	5.881152936
ENSG00000133321	0	0	0.350035504	0	0	0	0.136339919	0.037934703	0	0.222813643	0.024047411	0	0	0	0.081114413	0	0	2.209172781	0	0	0	0	0.183966378	0	0	0.03301909	0	0	0.009663033
ENSG00000133398	0.090813314	0.992431156	1.728107549	2.336193732	2.200228275	0.549088074	3.571259916	1.767386775	0.975314273	8.532330415	0.685911718	0.309370518	0.241793774	0.57357433	2.653915306	1.727097886	4.771879388	0.123754691	0.665426178	0.803831887	0.641833212	0.725271006	2.112580368	0.935048306	3.654135856	0.72396819	4.297404338	0.828385631	1.79555362
ENSG00000133401	0.033021388	0.008403766	0	0.019513561	0.013154714	0.017404296	0.00398138	0.021400257	0	0.049518504	0.075571212	0.149769414	0.084672225	0.00015054	0.036766203	0.01384512	0.15559597	0.159745188	0.515848401	0.019944318	0.007695394	0.006367205	0.000398314	0.029001542	0.005186027	0.038831611	0.142901571	0.005111086	0.012650797
ENSG00000133422	0.036829658	0.120207655	0.077210511	0.212397757	0.167197516	0.256019632	0.442470784	0.53254302	0.08077506	1.062298343	0.173329204	0.090823295	0.219264372	0.05055394	0.54031068	0.209254062	0.373360995	0.056390364	0.496207373	0.298883259	0.292897363	0.175387649	0.250939079	0.210255047	0.208887563	0.131513695	1.077444253	0.589427919	0.327830339
ENSG00000133424	0	0	0	0	0	0.060555046	0.038986947	0.023605277	0	0	0.129317434	0.10007291	0	0.000353758	0	0	0	0.015371801	0.001536836	0.066554342	0	0.25573568	0.026534701	0.040967642	0.027339134	0.032246379	0.244164339	0.006720623	0.002206264
ENSG00000133454	0.133217482	0.105625239	0.952964237	0.19989267	0.5504838	0.41368702	1.723887327	0.323387005	3.755073274	0.020207568	0.462234974	7.09055626	1.120097701	0.085581884	0.327879747	0.092726751	0.47268126	0.807929261	0.104502112	0.333174939	0.052137926	0.159651003	0.411465526	0.173692418	1.172947034	0.01378787	0.269567508	0.224568469	0.098277741
ENSG00000133477	0	0.085816453	0	0.013304814	0	0.056049911	0.060472143	0	0	0.047835175	0.602120935	0.030654819	0.028199146	0.020885134	0	0.0878172	0.035718317	0.031995304	0.005196976	0.023920313	0.055840533	0.048727703	0.230238613	0	0.157187524	0.108012831	0.045521358	0.007837408	0.20674169
